# BTE HeatFlux PeriodicBC IC_fneq IC_T Total
0.001476 0.001030 0.000154 0.000089 0.000274 0.003023
0.001454 0.001018 0.000148 0.000098 0.000286 0.003003
0.001436 0.001014 0.000156 0.000111 0.000272 0.002988
0.001467 0.001014 0.000130 0.000087 0.000281 0.002979
0.001388 0.000994 0.000177 0.000145 0.000271 0.002975
0.001480 0.001011 0.000112 0.000093 0.000277 0.002973
0.001360 0.000980 0.000190 0.000160 0.000270 0.002961
0.001454 0.000997 0.000118 0.000089 0.000279 0.002937
0.001377 0.000977 0.000169 0.000117 0.000271 0.002910
0.001392 0.000973 0.000149 0.000095 0.000289 0.002898
0.001405 0.000977 0.000158 0.000087 0.000276 0.002903
0.001350 0.000955 0.000178 0.000123 0.000302 0.002908
0.001395 0.000967 0.000173 0.000085 0.000283 0.002903
0.001351 0.000948 0.000173 0.000106 0.000307 0.002885
0.001348 0.000949 0.000187 0.000098 0.000280 0.002862
0.001374 0.000947 0.000140 0.000086 0.000293 0.002840
0.001300 0.000930 0.000182 0.000140 0.000269 0.002821
0.001381 0.000943 0.000111 0.000091 0.000274 0.002801
0.001282 0.000918 0.000165 0.000142 0.000263 0.002770
0.001345 0.000929 0.000112 0.000085 0.000264 0.002735
0.001307 0.000916 0.000130 0.000095 0.000264 0.002711
0.001284 0.000907 0.000141 0.000110 0.000261 0.002705
0.001333 0.000914 0.000108 0.000086 0.000266 0.002708
