# BTE HeatFlux PeriodicBC IC_fneq IC_T Total
0.014949 0.001929 0.003550 0.002613 0.003878 0.026919
0.014416 0.001909 0.003398 0.002593 0.003692 0.026007
0.013906 0.001883 0.003242 0.002555 0.003509 0.025096
0.013406 0.001853 0.003092 0.002499 0.003330 0.024179
0.012887 0.001817 0.002968 0.002430 0.003159 0.023262
0.012345 0.001778 0.002876 0.002354 0.002997 0.022349
0.011800 0.001740 0.002797 0.002270 0.002845 0.021453
0.011273 0.001704 0.002720 0.002182 0.002703 0.020583
0.010765 0.001673 0.002646 0.002095 0.002568 0.019747
0.010276 0.001644 0.002570 0.002018 0.002441 0.018949
0.009812 0.001618 0.002480 0.001958 0.002320 0.018188
0.009368 0.001598 0.002372 0.001916 0.002206 0.017461
0.008942 0.001584 0.002252 0.001893 0.002098 0.016769
0.008546 0.001577 0.002120 0.001881 0.001993 0.016116
0.008177 0.001577 0.001988 0.001873 0.001890 0.015506
0.007822 0.001586 0.001877 0.001866 0.001790 0.014942
0.007484 0.001606 0.001786 0.001850 0.001695 0.014421
0.007171 0.001632 0.001712 0.001820 0.001603 0.013937
0.006877 0.001659 0.001659 0.001774 0.001515 0.013483
0.006617 0.001685 0.001609 0.001712 0.001428 0.013052
0.006382 0.001710 0.001561 0.001641 0.001345 0.012639
0.006178 0.001729 0.001503 0.001564 0.001267 0.012242
0.006008 0.001740 0.001431 0.001490 0.001193 0.011862
0.005862 0.001744 0.001355 0.001421 0.001120 0.011501
0.005744 0.001741 0.001269 0.001356 0.001048 0.011159
0.005625 0.001734 0.001196 0.001296 0.000981 0.010832
0.005520 0.001723 0.001118 0.001239 0.000919 0.010519
0.005389 0.001711 0.001070 0.001188 0.000861 0.010218
0.005290 0.001695 0.001000 0.001138 0.000808 0.009932
0.005130 0.001677 0.000990 0.001105 0.000762 0.009664
0.005084 0.001650 0.000890 0.001068 0.000723 0.009414
0.004847 0.001623 0.000964 0.001063 0.000689 0.009186
0.004998 0.001579 0.000733 0.001018 0.000657 0.008986
0.004487 0.001555 0.001102 0.001060 0.000628 0.008831
0.005058 0.001497 0.000583 0.000960 0.000602 0.008700
